"R"	"threshold"	"wallclock_time"	"p67ci"	"p95ci"	"p99ci"	"p1σ"	"p2σ"	"p3σ"	"mean"	"avg_percent_error"	"dist"	"p"
50	0.05	60.02399999998618	91	100	100	100	100	100	458.2105765533884	-0.002302439786075361	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
50	0.1	17.30399999999213	84	100	100	100	100	100	458.2105765533884	-0.012123283748748381	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
50	0.2	5.279999999994946	86	100	100	100	100	100	458.2105765533884	-0.03668828336994845	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
100	0.05	50.423999999984765	81	99	100	100	100	100	458.2105765533884	-0.001035921744211521	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
100	0.1	14.453999999985202	83	99	100	100	100	100	458.2105765533884	-0.005009484653218488	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
100	0.2	4.68170999999355	92	100	100	100	100	100	458.2105765533884	-0.011212165241562655	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
150	0.05	49.89600000002066	81	98	100	100	100	100	458.2105765533884	-0.0009886364891040778	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
150	0.1	14.700000000016603	83	99	100	100	100	100	458.2105765533884	-0.011709845050396517	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
150	0.2	4.8165600000057855	84	99	100	100	100	100	458.2105765533884	-0.0450810097890908	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
200	0.05	52.428000000001965	73	98	100	100	100	100	458.2105765533884	-0.0004231303703026157	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
200	0.1	15.759000000015957	78	99	100	100	100	100	458.2105765533884	-0.012909731937126523	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
200	0.2	5.438129999995871	77	99	100	100	100	100	458.2105765533884	-0.045800343769954566	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
50	0.05	445.5600000000352	87	100	100	100	100	100	4602.867216938907	0.0020543634233897157	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
50	0.1	124.75199999999754	88	100	100	100	100	100	4602.867216938907	-0.010473659049616169	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
50	0.2	35.23199999999648	91	100	100	100	100	100	4602.867216938907	-0.05224304718258366	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
100	0.05	337.85399999996156	86	100	100	100	100	100	4602.867216938907	-0.007454600592737393	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
100	0.1	91.7070000000101	81	100	100	100	100	100	4602.867216938907	-0.011306262639805054	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
100	0.2	33.38345999999683	94	100	100	100	100	100	4602.867216938907	-0.03939098355783455	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
150	0.05	297.48600000001284	86	100	100	100	100	100	4602.867216938907	-0.0026386938884870315	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
150	0.1	82.7820000000054	83	100	100	100	100	100	4602.867216938907	-0.01955166114093365	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
150	0.2	41.786640000009356	93	100	100	100	100	100	4602.867216938907	-0.013922539923866717	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
200	0.05	277.1849999999657	85	100	100	100	100	100	4602.867216938907	0.002277934079437771	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
200	0.1	78.02999999997398	87	100	100	100	100	100	4602.867216938907	-0.001956637886787238	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
200	0.2	50.60678999999515	81	99	100	100	100	100	4602.867216938907	-0.006933709585171144	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
50	0.05	4005.791999998876	88	100	100	100	100	100	46049.39923641465	0.0025158305859721564	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
50	0.1	1062.120000000083	91	100	100	100	100	100	46049.39923641465	-0.016710168310546836	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
50	0.2	288.0239999999642	91	99	100	100	100	100	46049.39923641465	-0.046665421405160945	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
100	0.05	2881.460999999335	92	100	100	100	100	100	46049.39923641465	0.0006327177587854838	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
100	0.1	769.7250000002018	89	100	100	100	100	100	46049.39923641465	-0.009612860826059277	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
100	0.2	333.0251099999499	89	99	100	100	100	100	46049.39923641465	-0.03939872895259833	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
150	0.05	2542.3859999990946	93	100	100	100	100	100	46049.39923641465	-0.008540356663559123	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
150	0.1	665.8260000000779	92	100	100	100	100	100	46049.39923641465	-0.0071049239165308364	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
150	0.2	418.3275600002568	86	100	100	100	100	100	46049.39923641465	-0.015807047048480127	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
200	0.05	2273.9879999997543	92	100	100	100	100	100	46049.39923641465	-0.001414942751214232	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
200	0.1	621.5880000002419	90	100	100	100	100	100	46049.39923641465	-0.003437442029462723	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
200	0.2	511.1556599998621	88	100	100	100	100	100	46049.39923641465	-0.016652589861295697	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
